pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911373.197632,207720448,2,0,4,9,30844
1777911373.200276,207720448,2,1,4,9,74072
1777911373.2025797,207720448,2,0,10,21,38853
1777911373.2040288,207720448,2,1,10,20,79762
1777911373.2052476,207821398,2,0,4,9,30844
1777911373.206428,207821398,2,1,4,9,74111
1777911373.2077148,207821398,2,0,10,20,38850
1777911373.2089427,207821398,2,1,10,20,79802
1777911373.2396777,207922442,2,0,4,9,30807
1777911373.24327,207922442,2,1,4,9,74132
1777911373.244959,207922442,2,0,10,21,38816
1777911373.246601,207922442,2,1,10,21,79823
1777911373.3409739,208022927,2,0,4,9,30764
1777911373.3428323,208022927,2,1,4,9,74128
1777911373.3456945,208022927,2,0,10,20,38779
1777911373.3479118,208022927,2,1,10,20,79823
1777911373.4413965,208124027,2,0,4,8,30767
1777911373.4431238,208124027,2,1,4,8,74142
1777911373.4451761,208124027,2,0,10,21,38806
1777911373.447254,208124027,2,1,10,20,79851
1777911373.5418432,208224478,2,0,4,8,30833
1777911373.5449097,208224478,2,1,4,9,74197
1777911373.5470538,208224478,2,0,10,20,38864
1777911373.5486412,208224478,2,1,10,20,79922
1777911373.642374,208324923,2,0,4,8,30837
1777911373.6451905,208324923,2,1,4,8,74214
1777911373.6465738,208324923,2,0,10,21,38890
1777911373.647807,208324923,2,1,10,21,79942
1777911373.7430937,208425377,2,0,4,8,30805
1777911373.7460108,208425377,2,1,4,8,74246
1777911373.7477107,208425377,2,0,10,20,38877
1777911373.749042,208425377,2,1,10,20,79993
1777911373.8436654,208525973,2,0,4,8,30793
1777911373.8462996,208525973,2,1,4,8,74188
1777911373.8480687,208525973,2,0,10,21,38879
1777911373.8496134,208525973,2,1,10,21,79953
1777911373.9449623,208626542,2,0,4,9,30673
1777911373.947624,208626542,2,1,4,8,74101
1777911373.9499419,208626542,2,0,10,21,38779
1777911373.9519372,208626542,2,1,10,21,79858
1777911374.0459979,208727209,2,0,4,9,30696
1777911374.048873,208727209,2,1,4,9,74007
1777911374.050555,208727209,2,0,10,20,38779
1777911374.0522509,208727209,2,1,10,20,79776
1777911374.1462948,208827941,2,0,4,8,30850
1777911374.1479487,208827941,2,1,4,8,73984
1777911374.1493788,208827941,2,0,10,21,38893
1777911374.15085,208827941,2,1,10,21,79711
1777911374.2461493,208929051,2,0,4,9,30898
1777911374.247613,208929051,2,1,4,9,73971
1777911374.2494276,208929051,2,0,10,21,38900
1777911374.250833,208929051,2,1,10,21,79663
1777911374.3465714,209029374,2,0,4,8,30828
1777911374.348519,209029374,2,1,4,8,73960
1777911374.3493555,209029374,2,0,10,20,38855
1777911374.3508365,209029374,2,1,10,20,79678
1777911374.4469738,209129735,2,0,4,8,30771
1777911374.4494936,209129735,2,1,4,8,73951
1777911374.4510956,209129735,2,0,10,20,38820
1777911374.4532177,209129735,2,1,10,20,79683
1777911374.5478926,209230069,2,0,4,9,30763
1777911374.5508244,209230069,2,1,4,9,73939
1777911374.5530357,209230069,2,0,10,20,38817
1777911374.5548067,209230069,2,1,10,20,79702
1777911374.6480198,209330466,2,0,4,9,30763
1777911374.6513665,209330466,2,1,4,9,73939
1777911374.653219,209330466,2,0,10,20,38817
1777911374.6548438,209330466,2,1,10,20,79702
1777911374.7488208,209430923,2,0,4,9,30763
1777911374.7510152,209430923,2,1,4,9,73939
1777911374.7527304,209430923,2,0,10,20,38817
1777911374.754587,209430923,2,1,10,20,79702
1777911374.8487482,209531321,2,0,4,9,30763
1777911374.8514762,209531321,2,1,4,9,73939
1777911374.8532565,209531321,2,0,10,20,38817
1777911374.8545957,209531321,2,1,10,20,79702
1777911374.9503434,209631771,2,0,4,9,30763
1777911374.9521682,209631771,2,1,4,9,73939
1777911374.9538338,209631771,2,0,10,20,38817
1777911374.9552777,209631771,2,1,10,20,79702
