pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911469.390753,303952067,2,0,3,6,51259
1777911469.3929045,303952067,2,0,4,8,72442
1777911469.3944545,303952067,2,1,4,9,30643
1777911469.3971014,303952067,2,0,10,20,79110
1777911469.39988,303952067,2,1,10,20,39605
1777911469.4013228,304052596,2,0,3,6,51259
1777911469.4036996,304052596,2,0,4,8,72423
1777911469.405613,304052596,2,1,4,9,30636
1777911469.4074469,304052596,2,0,10,20,79085
1777911469.4089618,304052596,2,1,10,20,39591
1777911469.4718218,304153205,2,0,3,6,51259
1777911469.4750242,304153205,2,0,4,9,72413
1777911469.4764524,304153205,2,1,4,9,30644
1777911469.477878,304153205,2,0,10,20,79073
1777911469.480907,304153205,2,1,10,20,39595
1777911469.5724657,304253668,2,0,3,6,51259
1777911469.5762296,304253668,2,0,4,8,72416
1777911469.577661,304253668,2,1,4,8,30650
1777911469.5802822,304253668,2,0,10,20,79072
1777911469.5823581,304253668,2,1,10,21,39601
1777911469.67323,304354123,2,0,3,6,51259
1777911469.6757727,304354123,2,0,4,8,72425
1777911469.6777186,304354123,2,1,4,9,30659
1777911469.6808956,304354123,2,0,10,20,79081
1777911469.682521,304354123,2,1,10,21,39607
1777911469.7721593,304454558,2,0,3,6,51259
1777911469.7755601,304454558,2,0,4,8,72443
1777911469.7770715,304454558,2,1,4,8,30663
1777911469.7796738,304454558,2,0,10,20,79097
1777911469.7821527,304454558,2,1,10,20,39611
1777911469.8733768,304555184,2,0,3,6,51259
1777911469.8765244,304555184,2,0,4,8,72454
1777911469.878227,304555184,2,1,4,8,30669
1777911469.8808348,304555184,2,0,10,20,79108
1777911469.8827415,304555184,2,1,10,20,39618
1777911469.9739494,304655675,2,0,3,6,51259
1777911469.976161,304655675,2,0,4,8,72476
1777911469.9783237,304655675,2,1,4,8,30686
1777911469.9812672,304655675,2,0,10,21,79119
1777911469.9835398,304655675,2,1,10,21,39629
1777911470.0739827,304756129,2,0,3,6,51259
1777911470.077927,304756129,2,0,4,8,72480
1777911470.0810235,304756129,2,1,4,9,30692
1777911470.0832486,304756129,2,0,10,21,79119
1777911470.08503,304756129,2,1,10,21,39629
1777911470.1746244,304856594,2,0,3,6,51259
1777911470.1776063,304856594,2,0,4,9,72474
1777911470.1817644,304856594,2,1,4,9,30693
1777911470.1842625,304856594,2,0,10,21,79116
1777911470.187245,304856594,2,1,10,21,39629
1777911470.2740173,304957060,2,0,3,6,51259
1777911470.2754009,304957060,2,0,4,8,72466
1777911470.27639,304957060,2,1,4,8,30689
1777911470.277095,304957060,2,0,10,21,79106
1777911470.2780764,304957060,2,1,10,21,39622
1777911470.375259,305057464,2,0,3,6,51259
1777911470.3772151,305057464,2,0,4,9,72457
1777911470.3786032,305057464,2,1,4,9,30678
1777911470.3812695,305057464,2,0,10,21,79100
1777911470.3832552,305057464,2,1,10,21,39617
1777911470.475354,305158471,2,0,3,6,51259
1777911470.4771497,305158471,2,0,4,9,72464
1777911470.4781804,305158471,2,1,4,8,30683
1777911470.480803,305158471,2,0,10,21,79110
1777911470.4822066,305158471,2,1,10,21,39620
1777911470.5763183,305259090,2,0,3,6,51259
1777911470.5782213,305259090,2,0,4,8,72463
1777911470.58025,305259090,2,1,4,8,30681
1777911470.582328,305259090,2,0,10,20,79107
1777911470.5836883,305259090,2,1,10,20,39617
1777911470.6773353,305359667,2,0,3,6,51259
1777911470.679478,305359667,2,0,4,8,72460
1777911470.6810162,305359667,2,1,4,8,30677
1777911470.6825132,305359667,2,0,10,20,79104
1777911470.6839628,305359667,2,1,10,20,39611
1777911470.777244,305460120,2,0,3,6,51259
1777911470.779743,305460120,2,0,4,8,72457
1777911470.7810686,305460120,2,1,4,8,30671
1777911470.7825336,305460120,2,0,10,20,79101
1777911470.784039,305460120,2,1,10,21,39606
1777911470.8788083,305560660,2,0,3,6,51259
1777911470.8812735,305560660,2,0,4,8,72455
1777911470.8835018,305560660,2,1,4,8,30668
1777911470.8855915,305560660,2,0,10,20,79100
1777911470.887555,305560660,2,1,10,20,39607
1777911470.9802885,305661440,2,0,3,6,51259
1777911470.9836435,305661440,2,0,4,8,72451
1777911470.9850018,305661440,2,1,4,8,30666
1777911470.986322,305661440,2,0,10,20,79091
1777911470.9877427,305661440,2,1,10,20,39602
1777911471.0814955,305762601,2,0,3,6,51259
1777911471.083666,305762601,2,0,4,8,72437
1777911471.085099,305762601,2,1,4,9,30652
1777911471.0864737,305762601,2,0,10,21,79082
1777911471.0878887,305762601,2,1,10,20,39589
1777911471.181057,305863573,2,0,3,6,51259
1777911471.1837492,305863573,2,0,4,8,72424
1777911471.1856673,305863573,2,1,4,9,30647
1777911471.1877816,305863573,2,0,10,21,79073
1777911471.1900473,305863573,2,1,10,20,39587
1777911471.2816145,305964160,2,0,3,6,51259
1777911471.283,305964160,2,0,4,9,72415
1777911471.2841475,305964160,2,1,4,8,30639
1777911471.2853637,305964160,2,0,10,21,79060
1777911471.2873971,305964160,2,1,10,21,39579
1777911471.3824756,306064587,2,0,3,6,51259
1777911471.385215,306064587,2,0,4,8,72403
1777911471.387525,306064587,2,1,4,8,30631
1777911471.3892257,306064587,2,0,10,21,79051
1777911471.3908467,306064587,2,1,10,21,39573
1777911471.4829621,306165081,2,0,3,6,51259
1777911471.4863808,306165081,2,0,4,8,72403
1777911471.4886672,306165081,2,1,4,8,30628
1777911471.4902697,306165081,2,0,10,20,79049
1777911471.4920092,306165081,2,1,10,21,39569
1777911471.58262,306265613,2,0,3,6,51259
1777911471.5856988,306265613,2,0,4,8,72399
1777911471.5878716,306265613,2,1,4,8,30629
1777911471.5903177,306265613,2,0,10,20,79046
1777911471.591939,306265613,2,1,10,20,39569
1777911471.6831937,306366192,2,0,3,6,51259
1777911471.6854331,306366192,2,0,4,8,72405
1777911471.6868527,306366192,2,1,4,8,30634
1777911471.688354,306366192,2,0,10,20,79047
1777911471.6900196,306366192,2,1,10,20,39569
1777911471.7838712,306466629,2,0,3,6,51259
1777911471.785732,306466629,2,0,4,8,72400
1777911471.7883534,306466629,2,1,4,8,30632
1777911471.7910225,306466629,2,0,10,20,79046
1777911471.7923343,306466629,2,1,10,21,39570
1777911471.8849003,306567154,2,0,3,6,51259
1777911471.8891551,306567154,2,0,4,8,72396
1777911471.8912117,306567154,2,1,4,8,30631
1777911471.8926907,306567154,2,0,10,21,79040
1777911471.8939908,306567154,2,1,10,20,39569
1777911471.985156,306667601,2,0,3,6,51259
1777911471.9868534,306667601,2,0,4,9,72400
1777911471.9886634,306667601,2,1,4,9,30633
1777911471.9899647,306667601,2,0,10,21,79046
1777911471.9912043,306667601,2,1,10,21,39572
1777911472.086044,306768609,2,0,3,6,51259
1777911472.0879555,306768609,2,0,4,8,72398
1777911472.0894947,306768609,2,1,4,8,30632
