pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911495.6415653,330142464,2,0,3,6,51259
1777911495.6451795,330142464,2,0,4,8,74214
1777911495.6480742,330142464,2,1,4,8,31545
1777911495.652728,330142464,2,0,10,20,80000
1777911495.6548,330142464,2,1,10,21,39625
1777911495.6564786,330243626,2,0,3,6,51259
1777911495.657835,330243626,2,0,4,9,74212
1777911495.659065,330243626,2,1,4,9,31540
1777911495.6604486,330243626,2,0,10,20,80000
1777911495.661853,330243626,2,1,10,20,39624
1777911495.6657252,330344723,2,0,3,6,51259
1777911495.6671672,330344723,2,0,4,8,74212
1777911495.6704783,330344723,2,1,4,9,31539
1777911495.6722589,330344723,2,0,10,20,79998
1777911495.6737862,330344723,2,1,10,20,39622
1777911495.7618306,330445140,2,0,3,6,51259
1777911495.763317,330445140,2,0,4,9,74216
1777911495.7644491,330445140,2,1,4,8,31543
1777911495.765377,330445140,2,0,10,21,79999
1777911495.7664628,330445140,2,1,10,20,39624
1777911495.8644204,330545556,2,0,3,6,51259
1777911495.8668883,330545556,2,0,4,9,74215
1777911495.86885,330545556,2,1,4,8,31542
1777911495.87038,330545556,2,0,10,20,80001
1777911495.8717246,330545556,2,1,10,20,39624
1777911495.9646935,330646801,2,0,3,6,51259
1777911495.9681163,330646801,2,0,4,8,74213
1777911495.9709156,330646801,2,1,4,8,31538
1777911495.9726245,330646801,2,0,10,21,79999
1777911495.9742465,330646801,2,1,10,21,39621
1777911496.065834,330747379,2,0,3,6,51259
1777911496.0683281,330747379,2,0,4,8,74213
1777911496.070226,330747379,2,1,4,8,31536
1777911496.0728312,330747379,2,0,10,21,79995
1777911496.0748603,330747379,2,1,10,20,39618
1777911496.1655827,330847910,2,0,3,6,51259
1777911496.168383,330847910,2,0,4,8,74211
1777911496.1704419,330847910,2,1,4,8,31538
1777911496.1725879,330847910,2,0,10,20,79997
1777911496.1741717,330847910,2,1,10,21,39621
1777911496.265795,330948345,2,0,3,6,51259
1777911496.269482,330948345,2,0,4,9,74210
1777911496.2711198,330948345,2,1,4,8,31537
1777911496.2725034,330948345,2,0,10,20,79996
1777911496.2740586,330948345,2,1,10,20,39619
1777911496.3664613,331048848,2,0,3,6,51259
1777911496.36934,331048848,2,0,4,8,74209
1777911496.371051,331048848,2,1,4,8,31534
1777911496.3724906,331048848,2,0,10,20,79996
1777911496.373864,331048848,2,1,10,20,39617
1777911496.4667687,331149320,2,0,3,6,51259
1777911496.4695926,331149320,2,0,4,8,74209
1777911496.471722,331149320,2,1,4,8,31532
1777911496.473816,331149320,2,0,10,20,79995
1777911496.475502,331149320,2,1,10,20,39617
1777911496.5675263,331249854,2,0,3,6,51259
1777911496.5702338,331249854,2,0,4,8,74212
1777911496.5724833,331249854,2,1,4,8,31536
1777911496.574362,331249854,2,0,10,21,79997
1777911496.575789,331249854,2,1,10,21,39619
1777911496.668132,331350273,2,0,3,6,51259
1777911496.67079,331350273,2,0,4,8,74212
1777911496.6728013,331350273,2,1,4,8,31535
1777911496.6742787,331350273,2,0,10,21,79995
1777911496.6756415,331350273,2,1,10,21,39618
1777911496.7686503,331450786,2,0,3,6,51259
1777911496.7713082,331450786,2,0,4,8,74209
1777911496.7736616,331450786,2,1,4,8,31533
1777911496.7754102,331450786,2,0,10,21,79994
1777911496.77685,331450786,2,1,10,21,39616
1777911496.869349,331551253,2,0,3,6,51259
1777911496.8713934,331551253,2,0,4,8,74211
1777911496.8733015,331551253,2,1,4,8,31537
1777911496.8748677,331551253,2,0,10,20,79996
1777911496.8762505,331551253,2,1,10,21,39617
1777911496.9701405,331651799,2,0,3,6,51259
1777911496.971728,331651799,2,0,4,9,74209
1777911496.973352,331651799,2,1,4,9,31534
1777911496.9749556,331651799,2,0,10,21,79996
1777911496.9764535,331651799,2,1,10,20,39618
1777911497.0698688,331752351,2,0,3,6,51259
1777911497.0720108,331752351,2,0,4,8,74212
1777911497.0738626,331752351,2,1,4,8,31532
1777911497.0754974,331752351,2,0,10,20,79996
1777911497.0769858,331752351,2,1,10,20,39617
1777911497.1708813,331852935,2,0,3,6,51259
1777911497.173166,331852935,2,0,4,8,74213
1777911497.1751719,331852935,2,1,4,9,31537
1777911497.1767282,331852935,2,0,10,20,79995
1777911497.1794355,331852935,2,1,10,20,39617
1777911497.2707236,331953617,2,0,3,6,51259
1777911497.273092,331953617,2,0,4,9,74213
1777911497.2748072,331953617,2,1,4,9,31537
1777911497.2763402,331953617,2,0,10,21,79998
1777911497.278121,331953617,2,1,10,21,39620
1777911497.3715312,332054047,2,0,3,6,51259
1777911497.373723,332054047,2,0,4,9,74212
1777911497.3754005,332054047,2,1,4,9,31535
1777911497.3767865,332054047,2,0,10,21,79997
1777911497.378121,332054047,2,1,10,21,39618
1777911497.4721167,332154789,2,0,3,6,51259
1777911497.474454,332154789,2,0,4,8,74212
1777911497.4761379,332154789,2,1,4,8,31535
1777911497.4776769,332154789,2,0,10,21,79997
1777911497.4805348,332154789,2,1,10,21,39618
1777911497.5731146,332255271,2,0,3,6,51259
1777911497.5749533,332255271,2,0,4,9,74212
1777911497.5762475,332255271,2,1,4,9,31536
1777911497.5781956,332255271,2,0,10,20,79998
1777911497.5808394,332255271,2,1,10,21,39619
1777911497.6742887,332356446,2,0,3,6,51259
1777911497.6781528,332356446,2,0,4,8,74210
1777911497.68086,332356446,2,1,4,8,31535
1777911497.6828942,332356446,2,0,10,21,79997
1777911497.6851413,332356446,2,1,10,20,39617
1777911497.7745934,332457291,2,0,3,6,51259
1777911497.776446,332457291,2,0,4,8,74212
1777911497.7778556,332457291,2,1,4,8,31534
1777911497.780596,332457291,2,0,10,21,79997
1777911497.7832448,332457291,2,1,10,21,39618
1777911497.87527,332558055,2,0,3,6,51259
1777911497.8771656,332558055,2,0,4,8,74211
1777911497.879717,332558055,2,1,4,8,31533
1777911497.8823009,332558055,2,0,10,20,79996
1777911497.8845992,332558055,2,1,10,20,39618
1777911497.9761524,332658796,2,0,3,6,51259
1777911497.9780087,332658796,2,0,4,9,74210
1777911497.9804387,332658796,2,1,4,9,31532
1777911497.982124,332658796,2,0,10,20,79996
1777911497.9836407,332658796,2,1,10,20,39617
1777911498.0767553,332759442,2,0,3,6,51259
1777911498.0785513,332759442,2,0,4,9,74210
1777911498.080736,332759442,2,1,4,8,31536
1777911498.0830655,332759442,2,0,10,20,79997
1777911498.0854173,332759442,2,1,10,20,39617
1777911498.1783416,332860057,2,0,3,6,51259
1777911498.180584,332860057,2,0,4,8,74213
1777911498.1827238,332860057,2,1,4,9,31536
1777911498.1848798,332860057,2,0,10,20,79996
1777911498.1871011,332860057,2,1,10,20,39618
1777911498.2782965,332961223,2,0,3,6,51259
1777911498.2806637,332961223,2,0,4,8,74209
1777911498.2821555,332961223,2,1,4,8,31533
1777911498.2837548,332961223,2,0,10,21,79997
1777911498.2854328,332961223,2,1,10,21,39618
1777911498.3802295,333061703,2,0,3,6,51259
1777911498.3825502,333061703,2,0,4,9,74210
1777911498.3841765,333061703,2,1,4,9,31533
1777911498.3856392,333061703,2,0,10,20,79995
1777911498.387832,333061703,2,1,10,20,39615
1777911498.4808025,333163021,2,0,3,6,51259
1777911498.4828987,333163021,2,0,4,9,74210
1777911498.4849477,333163021,2,1,4,9,31535
1777911498.4870434,333163021,2,0,10,21,79995
1777911498.488886,333163021,2,1,10,21,39617
1777911498.5806575,333263463,2,0,3,6,51259
1777911498.5821533,333263463,2,0,4,8,74205
1777911498.583417,333263463,2,1,4,8,31533
1777911498.5849261,333263463,2,0,10,21,79994
1777911498.58653,333263463,2,1,10,20,39617
1777911498.681021,333363931,2,0,3,6,51259
1777911498.6827276,333363931,2,0,4,8,74210
1777911498.6840844,333363931,2,1,4,9,31535
1777911498.6854851,333363931,2,0,10,20,79993
1777911498.686849,333363931,2,1,10,20,39616
1777911498.7811954,333464362,2,0,3,6,51259
1777911498.7830417,333464362,2,0,4,8,74207
1777911498.7845001,333464362,2,1,4,8,31532
1777911498.7865136,333464362,2,0,10,20,79993
1777911498.7885597,333464362,2,1,10,21,39616
1777911498.8811488,333564802,2,0,3,6,51259
1777911498.882765,333564802,2,0,4,8,74207
1777911498.8841617,333564802,2,1,4,8,31535
1777911498.8855827,333564802,2,0,10,21,79994
1777911498.887048,333564802,2,1,10,21,39616
1777911498.981893,333665260,2,0,3,6,51259
1777911498.9838402,333665260,2,0,4,8,74209
1777911498.98544,333665260,2,1,4,9,31533
1777911498.9870331,333665260,2,0,10,20,79993
1777911498.9886165,333665260,2,1,10,21,39615
1777911499.0830386,333765839,2,0,3,6,51259
1777911499.0849462,333765839,2,0,4,8,74208
1777911499.0862994,333765839,2,1,4,8,31532
1777911499.087896,333765839,2,0,10,21,79994
1777911499.089191,333765839,2,1,10,21,39616
1777911499.1834443,333866307,2,0,3,6,51259
1777911499.1862028,333866307,2,0,4,9,74209
1777911499.1875043,333866307,2,1,4,9,31533
1777911499.1891625,333866307,2,0,10,20,79995
1777911499.190658,333866307,2,1,10,20,39616
1777911499.283457,333966792,2,0,3,6,51259
1777911499.2865183,333966792,2,0,4,9,74208
1777911499.2878807,333966792,2,1,4,8,31535
1777911499.2891607,333966792,2,0,10,21,79993
1777911499.2903867,333966792,2,1,10,20,39615
1777911499.3843892,334067423,2,0,3,6,51259
1777911499.3871336,334067423,2,0,4,8,74209
1777911499.3889654,334067423,2,1,4,8,31534
1777911499.3903205,334067423,2,0,10,20,79991
1777911499.3915756,334067423,2,1,10,21,39616
