timestamp,x,y,z
1779103160.4506857,0.6116,0.8883,-0.0623
1779103160.5560858,0.6126,0.8901,-0.0588
1779103160.664788,0.6125,0.8919,-0.0561
1779103160.7900581,0.6118,0.8934,-0.0539
1779103160.9112122,0.6113,0.8944,-0.0521
1779103161.0243747,0.6111,0.8953,-0.0505
1779103161.1244605,0.6111,0.8957,-0.0495
1779103161.2490773,0.6111,0.8952,-0.0487
1779103161.3525355,0.6109,0.8942,-0.0479
1779103161.4768305,0.6104,0.8940,-0.0474
1779103161.5820808,0.6098,0.8947,-0.0468
1779103161.7055244,0.6098,0.8919,-0.0445
1779103161.808633,0.6110,0.8881,-0.0435
1779103161.9428737,0.6121,0.8848,-0.0430
1779103162.0482311,0.6125,0.8825,-0.0422
1779103162.154768,0.6116,0.8831,-0.0375
1779103162.2686172,0.6101,0.8831,-0.0330
1779103162.3999133,0.6084,0.8828,-0.0306
1779103162.5165184,0.6065,0.8831,-0.0319
1779103162.620022,0.6037,0.8842,-0.0320
1779103162.7417994,0.6020,0.8863,-0.0322
1779103162.8594828,0.6010,0.8887,-0.0317
1779103162.9607966,0.5986,0.8918,-0.0312
1779103163.0916598,0.5943,0.8960,-0.0298
1779103163.2141724,0.5882,0.9002,-0.0281
1779103163.3150904,0.5809,0.9065,-0.0233
1779103163.4341972,0.5730,0.9124,-0.0200
1779103163.5459366,0.5662,0.9166,-0.0167
1779103163.6544008,0.5607,0.9181,-0.0147
1779103163.7820919,0.5567,0.9184,-0.0132
1779103163.8986583,0.5531,0.9192,-0.0123
1779103164.0339124,0.5505,0.9201,-0.0113
1779103164.1457183,0.5490,0.9209,-0.0103
1779103164.253051,0.5505,0.9219,-0.0086
1779103164.3757987,0.5651,0.9244,-0.0065
1779103164.496031,0.5981,0.9278,-0.0040
1779103164.614735,0.6427,0.9344,-0.0018
1779103164.720672,0.6881,0.9410,-0.0002
1779103164.828271,0.7191,0.9421,-0.0009
1779103164.9497588,0.7324,0.9393,-0.0020
1779103165.0617,0.7264,0.9319,-0.0037
1779103165.1912048,0.7109,0.9231,-0.0160
1779103165.3050723,0.6868,0.9143,-0.0259
1779103165.4621203,0.6568,0.9048,-0.0369
1779103165.567799,0.6249,0.8935,-0.0459
1779103165.6721287,0.5912,0.8785,-0.0461
1779103165.7858431,0.5630,0.8675,-0.0453
1779103165.8913803,0.5466,0.8612,-0.0441
1779103166.0170047,0.5428,0.8598,-0.0431
1779103166.1347625,0.5497,0.8619,-0.0443
1779103166.2530968,0.5688,0.8692,-0.0441
1779103166.3654292,0.6026,0.8762,-0.0473
1779103166.4883273,0.6447,0.8874,-0.0448
1779103166.6063008,0.6889,0.9001,-0.0392
1779103166.7481525,0.7278,0.9114,-0.0358
1779103166.8538349,0.7536,0.9165,-0.0362
1779103166.9670434,0.7646,0.9176,-0.0408
1779103167.0966113,0.7583,0.9122,-0.0469
1779103167.2114909,0.7373,0.9126,-0.0358
1779103167.3266857,0.7095,0.9103,-0.0262
1779103167.4494874,0.6789,0.9107,-0.0189
1779103167.5523922,0.6467,0.9050,-0.0168
1779103167.67931,0.6168,0.8983,-0.0175
1779103167.7950656,0.5912,0.8920,-0.0168
1779103167.9328184,0.5752,0.8871,-0.0134
1779103168.036761,0.5700,0.8835,-0.0107
1779103168.1417303,0.5755,0.8817,-0.0089
1779103168.249406,0.5900,0.8806,-0.0049
1779103168.368909,0.6198,0.8947,0.0030
1779103168.487117,0.6528,0.9121,0.0122
1779103168.5936189,0.6858,0.9313,0.0225
1779103168.6941829,0.7129,0.9471,0.0300
1779103168.8245769,0.7302,0.9565,0.0338
1779103168.9351892,0.7378,0.9592,0.0341
1779103169.0713801,0.7343,0.9559,0.0330
1779103169.205856,0.7231,0.9487,0.0318
1779103169.334116,0.7052,0.9402,0.0239
1779103169.4348986,0.6820,0.9315,0.0185
1779103169.5393863,0.6578,0.9282,0.0139
1779103169.6820836,0.6228,0.9135,0.0090
1779103169.8092923,0.5963,0.9034,0.0016
1779103169.9110363,0.5783,0.8967,-0.0035
1779103170.0232525,0.5686,0.8942,-0.0035
1779103170.1505988,0.5666,0.8917,-0.0039
1779103170.252012,0.5740,0.8901,-0.0054
1779103170.375962,0.5889,0.8919,-0.0030
1779103170.492837,0.6114,0.8987,0.0002
1779103170.6157627,0.6382,0.9077,0.0040
1779103170.736899,0.6672,0.9206,0.0164
1779103170.847578,0.6926,0.9330,0.0356
1779103170.97278,0.7115,0.9425,0.0598
1779103171.0930994,0.7224,0.9292,0.0893
1779103171.21826,0.7239,0.9171,0.1129
1779103171.3203108,0.7173,0.9041,0.1288
1779103171.4314995,0.7067,0.8956,0.1392
1779103171.5599868,0.6927,0.8921,0.1362
1779103171.6955884,0.6737,0.8864,0.1322
1779103171.8017585,0.6548,0.8806,0.1138
1779103171.9305074,0.6357,0.8733,0.0945
1779103172.0362284,0.6178,0.8702,0.0708
1779103172.1534207,0.6003,0.8688,0.0553
1779103172.3120487,0.5881,0.8714,0.0449
1779103172.4137185,0.5805,0.8744,0.0307
