time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473098.68224,2,0,4,8,90009
1777473098.6847992,2,0,10,20,23117
1777473098.6899288,2,1,4,8,52195
1777473098.6936047,2,1,10,20,59802
1777473098.7812424,2,0,4,8,90009
1777473098.783458,2,0,10,20,23467
1777473098.786833,2,1,4,8,52619
1777473098.7889693,2,1,10,20,59806
1777473098.8956208,2,0,4,8,90547
1777473098.9011207,2,0,10,21,23121
1777473098.9089751,2,1,4,8,52616
1777473098.9120595,2,1,10,20,59248
1777473098.9983592,2,0,4,8,90009
1777473099.00427,2,0,10,21,23123
1777473099.012081,2,1,4,8,52616
1777473099.0151641,2,1,10,21,59815
1777473099.1003525,2,0,4,8,90011
1777473099.1065943,2,0,10,21,23469
1777473099.1128612,2,1,4,8,52615
1777473099.1158693,2,1,10,21,59814
1777473099.2029736,2,0,4,8,90536
1777473099.210743,2,0,10,20,23121
1777473099.2166715,2,1,4,8,52187
1777473099.2195358,2,1,10,20,59811
1777473099.3067224,2,0,4,8,89995
1777473099.3123088,2,0,10,21,23468
1777473099.318112,2,1,4,8,52191
1777473099.3213167,2,1,10,21,59812
1777473099.4079337,2,0,4,8,90547
1777473099.4130065,2,0,10,21,23467
1777473099.4190085,2,1,4,8,52193
1777473099.4226236,2,1,10,21,59810
1777473099.5155296,2,0,4,8,90541
1777473099.5213099,2,0,10,20,23468
1777473099.5280335,2,1,4,8,52616
1777473099.5310342,2,1,10,20,59810
1777473099.6167455,2,0,4,9,90549
1777473099.62137,2,0,10,20,23117
1777473099.6286197,2,1,4,9,52618
1777473099.6314669,2,1,10,20,59805
1777473099.7198858,2,0,4,9,90545
1777473099.7278051,2,0,10,20,23117
1777473099.7344182,2,1,4,9,52607
1777473099.737389,2,1,10,20,59805
1777473099.8276923,2,0,4,9,90549
1777473099.8335931,2,0,10,21,23467
1777473099.840747,2,1,4,8,52194
1777473099.8455002,2,1,10,21,59808
1777473099.927683,2,0,4,8,90008
1777473099.9334755,2,0,10,21,23468
1777473099.9405346,2,1,4,8,52617
1777473099.9439218,2,1,10,21,59806
1777473100.0319438,2,0,4,9,90545
1777473100.0473497,2,0,10,20,23465
1777473100.0538476,2,1,4,9,52615
1777473100.0574589,2,1,10,20,59804
1777473100.132277,2,0,4,8,90550
1777473100.135808,2,0,10,20,23464
1777473100.14082,2,1,4,8,52618
1777473100.1425314,2,1,10,20,59805
1777473100.2327912,2,0,4,9,90545
1777473100.2381732,2,0,10,21,23117
1777473100.2463243,2,1,4,9,52618
1777473100.249505,2,1,10,20,59805
1777473100.3368392,2,0,4,8,90550
1777473100.3426094,2,0,10,20,23116
1777473100.348634,2,1,4,9,52200
1777473100.3514526,2,1,10,20,59249
1777473100.4412136,2,0,4,8,90009
1777473100.446736,2,0,10,20,23467
1777473100.4524233,2,1,4,8,52619
1777473100.4568732,2,1,10,20,59805
1777473100.5452821,2,0,4,8,90550
1777473100.551246,2,0,10,21,23117
1777473100.5586915,2,1,4,8,52618
1777473100.5624752,2,1,10,21,59807
1777473100.6476567,2,0,4,8,90549
1777473100.6532571,2,0,10,20,23467
1777473100.660692,2,1,4,8,52194
1777473100.663654,2,1,10,20,59805
1777473100.7521765,2,0,4,9,90545
1777473100.7577028,2,0,10,20,23467
1777473100.7654698,2,1,4,9,52194
1777473100.768521,2,1,10,20,59805
1777473100.856187,2,0,4,9,90545
1777473100.8614812,2,0,10,20,23467
1777473100.867554,2,1,4,9,52614
1777473100.870662,2,1,10,20,59806
1777473100.9572868,2,0,4,9,90545
1777473100.9631653,2,0,10,20,23117
1777473100.9692898,2,1,4,9,52194
1777473100.9734554,2,1,10,21,59807
1777473101.0626314,2,0,4,8,90550
1777473101.068413,2,0,10,21,23467
1777473101.07616,2,1,4,8,52618
1777473101.080682,2,1,10,21,59237
1777473101.1658785,2,0,4,9,90545
1777473101.1728046,2,0,10,20,23467
1777473101.180192,2,1,4,8,52193
1777473101.183229,2,1,10,20,59805
1777473101.2676308,2,0,4,9,89996
1777473101.273566,2,0,10,20,23463
1777473101.2808187,2,1,4,8,52617
1777473101.2838008,2,1,10,20,59805
1777473101.3726444,2,0,4,9,90543
1777473101.3774593,2,0,10,20,23118
1777473101.3981543,2,1,4,9,52609
1777473101.401155,2,1,10,20,59808
1777473101.4736893,2,0,4,9,90002
1777473101.4787538,2,0,10,20,23116
1777473101.4857943,2,1,4,9,52617
1777473101.4893835,2,1,10,20,59804
1777473101.5777657,2,0,4,8,90549
1777473101.5835552,2,0,10,21,23466
1777473101.5901408,2,1,4,9,52196
1777473101.5942416,2,1,10,21,59807
1777473101.689755,2,0,4,8,90035
1777473101.6953862,2,0,10,21,23467
1777473101.7043507,2,1,4,8,52617
1777473101.7072978,2,1,10,20,59807
1777473101.7822776,2,0,4,8,90011
1777473101.7879136,2,0,10,21,23460
1777473101.7933414,2,1,4,8,52620
1777473101.7957144,2,1,10,21,59805
1777473101.876309,2,0,4,8,90550
1777473101.8790479,2,0,10,21,23467
1777473101.8821177,2,1,4,9,52617
1777473101.8835437,2,1,10,21,59238
1777473101.989467,2,0,4,9,90545
1777473101.9956088,2,0,10,21,23119
1777473102.001691,2,1,4,9,52194
1777473102.0047388,2,1,10,21,59807
1777473102.0923686,2,0,4,8,90537
1777473102.0970292,2,0,10,21,23120
1777473102.1038578,2,1,4,8,52607
1777473102.1086564,2,1,10,21,59810
1777473102.1954322,2,0,4,9,90002
1777473102.2016127,2,0,10,21,23466
1777473102.2099912,2,1,4,9,52614
1777473102.2135742,2,1,10,21,59807
1777473102.3002172,2,0,4,9,90545
1777473102.3097777,2,0,10,20,23117
1777473102.3172302,2,1,4,9,52617
1777473102.3207917,2,1,10,20,59806
1777473102.398179,2,0,4,8,90552
1777473102.4026012,2,0,10,21,23459
1777473102.4104705,2,1,4,8,52617
1777473102.414847,2,1,10,20,59802
1777473102.5017805,2,0,4,8,90552
1777473102.5070076,2,0,10,20,23463
1777473102.5136032,2,1,4,8,52619
1777473102.5163965,2,1,10,20,59802
1777473102.6089065,2,0,4,9,90545
1777473102.614337,2,0,10,20,23114
1777473102.6204588,2,1,4,9,52617
1777473102.6242719,2,1,10,20,59802
1777473102.713694,2,0,4,9,90549
1777473102.7189386,2,0,10,21,23467
1777473102.726015,2,1,4,9,52617
1777473102.7296054,2,1,10,21,59804
1777473102.8132591,2,0,4,9,90549
1777473102.818539,2,0,10,20,23114
