time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473123.07274,2,0,4,9,87636
1777473123.0771291,2,0,10,21,25660
1777473123.083545,2,1,4,9,49684
1777473123.0864673,2,1,10,21,62184
1777473123.1735692,2,0,4,8,87638
1777473123.1796172,2,0,10,20,25657
1777473123.185793,2,1,4,8,49353
1777473123.1900904,2,1,10,20,62185
1777473123.277096,2,0,4,9,87185
1777473123.283288,2,0,10,20,25654
1777473123.2919736,2,1,4,9,49682
1777473123.2951734,2,1,10,20,61652
1777473123.3800812,2,0,4,8,87640
1777473123.3845093,2,0,10,21,25657
1777473123.3917155,2,1,4,8,49357
1777473123.3949206,2,1,10,21,61655
1777473123.4796116,2,0,4,8,87177
1777473123.4855695,2,0,10,21,25651
1777473123.4929347,2,1,4,8,49357
1777473123.4965034,2,1,10,20,62182
1777473123.5808458,2,0,4,8,87641
1777473123.5842857,2,0,10,20,25655
1777473123.5890195,2,1,4,8,49357
1777473123.5914073,2,1,10,20,62181
1777473123.6833484,2,0,4,9,87640
1777473123.6865585,2,0,10,21,25347
1777473123.6917822,2,1,4,9,49357
1777473123.6946123,2,1,10,21,62182
1777473123.7951233,2,0,4,8,87639
1777473123.8007052,2,0,10,20,25347
1777473123.8077295,2,1,4,8,49356
1777473123.8112192,2,1,10,20,62181
1777473123.9025347,2,0,4,9,87185
1777473123.9080691,2,0,10,21,25347
1777473123.9155223,2,1,4,8,49686
1777473123.9186654,2,1,10,21,62183
1777473124.0072079,2,0,4,9,49684
1777473124.013765,2,0,10,21,25657
1777473124.0195632,2,1,4,9,87642
1777473124.0227904,2,1,10,21,61650
1777473124.1066725,2,0,4,8,49690
1777473124.1118305,2,0,10,21,25651
1777473124.1177254,2,1,4,8,87640
1777473124.1204934,2,1,10,21,61654
1777473124.2112,2,0,4,8,49686
1777473124.216234,2,0,10,20,25655
1777473124.2234595,2,1,4,8,87640
1777473124.2262483,2,1,10,20,62182
1777473124.3166347,2,0,4,9,49357
1777473124.3229861,2,0,10,20,25655
1777473124.3297396,2,1,4,9,87642
1777473124.3326795,2,1,10,20,61652
1777473124.4177861,2,0,4,9,49685
1777473124.4254134,2,0,10,20,25655
1777473124.431588,2,1,4,9,87643
1777473124.4344633,2,1,10,20,61648
1777473124.520707,2,0,4,8,49699
1777473124.525661,2,0,10,20,25642
1777473124.5328004,2,1,4,8,87655
1777473124.535876,2,1,10,21,62170
1777473124.6255658,2,0,4,9,87680
1777473124.630936,2,0,10,21,25308
1777473124.6375642,2,1,4,8,49398
1777473124.644409,2,1,10,21,62140
1777473124.7270243,2,0,4,9,87679
1777473124.7329845,2,0,10,20,25307
1777473124.7403584,2,1,4,8,49727
1777473124.7443185,2,1,10,20,62139
1777473124.8346894,2,0,4,9,49406
1777473124.8401783,2,0,10,21,25298
