time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473068.8023272,2,0,4,9,55683
1777473068.8081102,2,0,10,21,56207
1777473068.8145342,2,1,4,8,92954
1777473068.8176298,2,1,10,21,19635
1777473068.904759,2,0,4,9,55683
1777473068.9106524,2,0,10,20,56205
1777473068.9174037,2,1,4,8,93549
1777473068.9204187,2,1,10,21,20018
1777473069.0075028,2,0,4,9,55680
1777473069.0135155,2,0,10,21,56206
1777473069.0193703,2,1,4,9,92940
1777473069.0240338,2,1,10,20,19632
1777473069.1114812,2,0,4,9,55188
1777473069.1174133,2,0,10,21,56205
1777473069.1249974,2,1,4,9,93547
1777473069.1288335,2,1,10,21,19633
1777473069.2161343,2,0,4,9,55683
1777473069.2219858,2,0,10,21,56204
1777473069.2289972,2,1,4,8,93548
1777473069.2319286,2,1,10,21,20018
1777473069.317051,2,0,4,8,55691
1777473069.3235881,2,0,10,20,56203
1777473069.3302834,2,1,4,8,93548
1777473069.3335867,2,1,10,20,19633
1777473069.422268,2,0,4,9,55683
1777473069.4280643,2,0,10,20,56202
1777473069.433956,2,1,4,9,93548
1777473069.4376667,2,1,10,20,19630
1777473069.522107,2,0,4,9,55683
1777473069.5290298,2,0,10,20,55556
1777473069.5348892,2,1,4,9,93548
1777473069.5374284,2,1,10,20,19631
1777473069.6303594,2,0,4,8,55691
1777473069.6353521,2,0,10,20,56202
1777473069.6436176,2,1,4,8,93541
1777473069.6466682,2,1,10,20,19630
1777473069.7283208,2,0,4,8,55690
1777473069.7333152,2,0,10,21,56202
1777473069.7403996,2,1,4,8,93549
1777473069.7437584,2,1,10,21,20018
1777473069.8336709,2,0,4,8,55691
1777473069.8392663,2,0,10,21,56199
1777473069.846853,2,1,4,8,93550
1777473069.8499062,2,1,10,21,20016
1777473069.940823,2,0,4,9,55683
1777473069.9461384,2,0,10,20,56196
1777473069.9536293,2,1,4,9,93550
1777473069.9590096,2,1,10,21,19627
1777473070.0412028,2,0,4,8,55695
1777473070.0488412,2,0,10,21,56196
1777473070.055819,2,1,4,8,93551
1777473070.058701,2,1,10,21,20016
1777473070.1446285,2,0,4,9,55697
1777473070.1521418,2,0,10,20,56195
1777473070.1609375,2,1,4,8,92965
1777473070.1638906,2,1,10,20,19626
1777473070.2459886,2,0,4,8,55699
1777473070.2517438,2,0,10,20,56193
1777473070.2583907,2,1,4,8,93551
1777473070.2623851,2,1,10,20,20006
1777473070.3503604,2,0,4,9,55197
1777473070.3567226,2,0,10,21,56193
1777473070.3642135,2,1,4,8,93551
1777473070.367075,2,1,10,21,20016
1777473070.45443,2,0,4,8,55704
1777473070.4599798,2,0,10,21,56191
1777473070.4667723,2,1,4,8,93552
1777473070.4711342,2,1,10,20,20010
1777473070.5581892,2,0,4,8,55701
1777473070.5640242,2,0,10,21,56188
1777473070.5700705,2,1,4,8,92968
1777473070.574338,2,1,10,21,20003
1777473070.6569471,2,0,4,8,55704
1777473070.6602786,2,0,10,21,56188
1777473070.6636438,2,1,4,9,93552
1777473070.665499,2,1,10,21,20010
1777473070.7516658,2,0,4,9,55699
1777473070.7545457,2,0,10,21,56188
1777473070.7594104,2,1,4,9,93552
1777473070.761653,2,1,10,21,20002
1777473070.8561902,2,0,4,8,55193
1777473070.859182,2,0,10,21,56188
1777473070.8631551,2,1,4,8,93552
1777473070.8646111,2,1,10,21,20010
1777473070.9655416,2,0,4,8,55193
1777473070.9709647,2,0,10,20,56189
1777473070.9786928,2,1,4,8,93552
1777473070.980957,2,1,10,20,20006
1777473071.0702546,2,0,4,8,55705
1777473071.0770063,2,0,10,21,56187
1777473071.0830746,2,1,4,9,93551
1777473071.0859523,2,1,10,21,19617
1777473071.1794116,2,0,4,8,55704
1777473071.185161,2,0,10,21,56187
1777473071.192257,2,1,4,9,93551
1777473071.196227,2,1,10,21,20009
1777473071.2808821,2,0,4,8,55705
1777473071.2852147,2,0,10,21,56188
1777473071.2917745,2,1,4,8,93552
1777473071.2955828,2,1,10,20,19619
1777473071.3826265,2,0,4,8,55194
1777473071.3899689,2,0,10,20,56187
1777473071.411623,2,1,4,9,93552
1777473071.4148896,2,1,10,21,20001
1777473071.4859173,2,0,4,8,55704
1777473071.4926999,2,0,10,20,56189
1777473071.499302,2,1,4,8,93561
1777473071.5024383,2,1,10,20,19618
1777473071.589441,2,0,4,9,55698
1777473071.5959654,2,0,10,20,56189
1777473071.6023414,2,1,4,9,93552
1777473071.605982,2,1,10,20,20010
1777473071.6889389,2,0,4,8,55704
1777473071.6939852,2,0,10,21,56188
1777473071.7002823,2,1,4,8,93560
1777473071.7030811,2,1,10,21,19619
1777473071.7962198,2,0,4,8,55706
1777473071.802055,2,0,10,20,56185
1777473071.8107228,2,1,4,8,93552
1777473071.813523,2,1,10,21,19617
1777473071.8964744,2,0,4,8,55705
1777473071.9024446,2,0,10,20,56188
1777473071.909846,2,1,4,8,93561
1777473071.912641,2,1,10,20,20006
1777473072.0025375,2,0,4,9,55699
1777473072.0087135,2,0,10,20,56186
1777473072.0152538,2,1,4,9,92974
1777473072.0184152,2,1,10,20,20004
1777473072.1058116,2,0,4,9,55699
1777473072.1107147,2,0,10,20,56186
1777473072.1167667,2,1,4,9,92949
1777473072.12018,2,1,10,20,20006
1777473072.2119784,2,0,4,8,55708
1777473072.2178266,2,0,10,21,56184
1777473072.2261984,2,1,4,9,93552
1777473072.2299087,2,1,10,21,20001
1777473072.31162,2,0,4,9,55204
1777473072.3179128,2,0,10,20,56186
1777473072.3254857,2,1,4,8,93562
1777473072.3282373,2,1,10,20,20005
1777473072.414591,2,0,4,8,55708
1777473072.4205396,2,0,10,21,56183
1777473072.4276552,2,1,4,8,92970
1777473072.430683,2,1,10,21,19614
1777473072.5176604,2,0,4,8,55708
1777473072.5234764,2,0,10,21,56182
1777473072.5297256,2,1,4,8,93565
1777473072.532778,2,1,10,21,19999
1777473072.6264982,2,0,4,8,55203
1777473072.6314912,2,0,10,21,56183
1777473072.6386297,2,1,4,8,93562
1777473072.642283,2,1,10,20,20004
1777473072.7247565,2,0,4,8,55705
1777473072.730221,2,0,10,21,56182
1777473072.7361057,2,1,4,8,93560
1777473072.7398705,2,1,10,21,20000
1777473072.8284903,2,0,4,8,55706
1777473072.8339477,2,0,10,20,56184
1777473072.8416538,2,1,4,8,93563
1777473072.8454459,2,1,10,21,19999
1777473072.9312909,2,0,4,9,55204
1777473072.935645,2,0,10,20,56183
1777473072.9424872,2,1,4,8,93561
1777473072.9460242,2,1,10,20,19614
1777473073.034587,2,0,4,8,55204
