time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473018.0612679,2,0,4,8,52507
1777473018.067499,2,0,10,21,59754
1777473018.07518,2,1,4,8,90427
1777473018.0781565,2,1,10,21,23063
1777473018.1597435,2,0,4,9,52078
1777473018.1656332,2,0,10,20,59765
1777473018.1722665,2,1,4,9,90419
1777473018.1753454,2,1,10,20,23411
1777473018.267257,2,0,4,8,52095
1777473018.2727711,2,0,10,21,59754
1777473018.278465,2,1,4,8,89894
1777473018.2810426,2,1,10,21,23405
1777473018.368726,2,0,4,9,52529
1777473018.3752203,2,0,10,20,59752
1777473018.380511,2,1,4,9,90452
1777473018.3827567,2,1,10,20,23066
1777473018.470581,2,0,4,8,52524
1777473018.477944,2,0,10,21,59266
1777473018.483168,2,1,4,8,90457
1777473018.4856741,2,1,10,21,23470
1777473018.574209,2,0,4,8,52549
1777473018.5793366,2,0,10,21,59862
1777473018.5848596,2,1,4,8,90493
1777473018.5873792,2,1,10,21,23506
1777473018.6781108,2,0,4,8,52578
1777473018.6838794,2,0,10,21,59883
1777473018.6899822,2,1,4,8,90516
1777473018.6926095,2,1,10,20,23542
1777473018.7817605,2,0,4,8,52571
1777473018.7945285,2,0,10,21,59912
1777473018.8010933,2,1,4,8,90496
1777473018.8034122,2,1,10,21,23217
1777473018.8776877,2,0,4,8,52571
1777473018.8894632,2,0,10,21,59901
1777473018.902433,2,1,4,8,90498
1777473018.909514,2,1,10,21,23211
1777473018.98044,2,0,4,9,52154
1777473018.9849486,2,0,10,21,59893
1777473019.0036867,2,1,4,9,90502
1777473019.0097566,2,1,10,21,23201
1777473019.0819404,2,0,4,9,52564
1777473019.0867045,2,0,10,21,59901
1777473019.098479,2,1,4,9,90491
1777473019.103847,2,1,10,21,23208
1777473019.1844182,2,0,4,8,52570
1777473019.1950095,2,0,10,20,59896
1777473019.2069924,2,1,4,8,90498
1777473019.2199419,2,1,10,20,23206
1777473019.2866948,2,0,4,8,52568
1777473019.2914548,2,0,10,21,59892
1777473019.3087184,2,1,4,8,90505
1777473019.312983,2,1,10,21,23540
1777473019.390641,2,0,4,9,52570
1777473019.3967705,2,0,10,21,59893
1777473019.403586,2,1,4,9,90499
1777473019.4137754,2,1,10,21,23538
1777473019.4946039,2,0,4,9,52568
1777473019.4996762,2,0,10,20,59888
1777473019.505398,2,1,4,9,90499
1777473019.520159,2,1,10,21,23538
1777473019.596643,2,0,4,9,52149
1777473019.6169164,2,0,10,21,59892
1777473019.6223114,2,1,4,9,90499
1777473019.6318944,2,1,10,21,23538
1777473019.6990962,2,0,4,9,52570
1777473019.7146378,2,0,10,21,59889
1777473019.7188888,2,1,4,9,90501
1777473019.737054,2,1,10,21,23537
1777473019.8030796,2,0,4,9,52152
1777473019.8176117,2,0,10,20,59888
1777473019.8244157,2,1,4,8,90035
1777473019.8425295,2,1,10,20,23542
1777473019.9042912,2,0,4,8,52151
1777473019.9079578,2,0,10,20,59891
1777473019.9118512,2,1,4,9,90500
1777473019.9261725,2,1,10,20,23543
1777473020.0074651,2,0,4,8,52571
1777473020.0126271,2,0,10,20,59890
1777473020.0282729,2,1,4,8,90498
1777473020.033288,2,1,10,20,23201
1777473020.1106265,2,0,4,8,52152
1777473020.1272128,2,0,10,21,59890
1777473020.1314952,2,1,4,8,90503
1777473020.147123,2,1,10,20,23542
1777473020.2123263,2,0,4,8,52150
1777473020.230185,2,0,10,20,59892
1777473020.2347264,2,1,4,8,90503
1777473020.2488482,2,1,10,20,23543
1777473020.3156548,2,0,4,8,52571
1777473020.3238714,2,0,10,20,59889
1777473020.3276722,2,1,4,8,90498
1777473020.3340542,2,1,10,20,23202
1777473020.4193828,2,0,4,8,52568
1777473020.432036,2,0,10,20,59891
1777473020.4365985,2,1,4,8,90498
1777473020.4386597,2,1,10,20,23542
1777473020.5333266,2,0,4,8,52572
1777473020.538638,2,0,10,21,59891
1777473020.5474505,2,1,4,8,90498
1777473020.5508573,2,1,10,21,23537
1777473020.6312797,2,0,4,8,52568
1777473020.6348498,2,0,10,20,59891
1777473020.6394832,2,1,4,8,90498
1777473020.6411452,2,1,10,20,23540
1777473020.7267177,2,0,4,8,52149
1777473020.7296557,2,0,10,21,59892
1777473020.7350914,2,1,4,8,90498
1777473020.736957,2,1,10,21,23538
1777473020.8342788,2,0,4,8,52571
1777473020.8431342,2,0,10,21,59891
1777473020.8498673,2,1,4,8,90031
1777473020.8534005,2,1,10,21,23538
1777473020.94316,2,0,4,9,52568
1777473020.9484208,2,0,10,21,59893
1777473020.9556131,2,1,4,9,90499
1777473020.957925,2,1,10,21,23537
1777473021.0322583,2,0,4,9,52568
1777473021.0349317,2,0,10,21,59891
1777473021.0375228,2,1,4,9,90499
1777473021.0392647,2,1,10,21,23541
1777473021.1442413,2,0,4,9,52567
1777473021.150128,2,0,10,21,59889
1777473021.1576617,2,1,4,9,90499
1777473021.1608346,2,1,10,21,23538
1777473021.2500343,2,0,4,8,52568
1777473021.2562509,2,0,10,21,59329
1777473021.2618382,2,1,4,9,90500
1777473021.2642975,2,1,10,21,23200
1777473021.3502116,2,0,4,9,52566
1777473021.3569062,2,0,10,20,59891
1777473021.3632715,2,1,4,9,90499
1777473021.3662827,2,1,10,20,23543
1777473021.4559817,2,0,4,8,52566
1777473021.4603913,2,0,10,20,59890
1777473021.465371,2,1,4,8,90498
1777473021.4676285,2,1,10,20,23542
1777473021.5567772,2,0,4,9,52566
1777473021.5617516,2,0,10,21,59891
1777473021.5673084,2,1,4,9,90499
1777473021.5697293,2,1,10,21,23538
1777473021.6581714,2,0,4,8,52151
1777473021.6625583,2,0,10,20,59892
1777473021.6679218,2,1,4,8,90031
1777473021.6705897,2,1,10,20,23542
1777473021.7624319,2,0,4,8,52150
1777473021.767577,2,0,10,20,59892
1777473021.7734616,2,1,4,8,90497
1777473021.776177,2,1,10,21,23538
1777473021.86289,2,0,4,8,52571
1777473021.8677614,2,0,10,20,59891
1777473021.873277,2,1,4,8,90497
1777473021.8753662,2,1,10,20,23542
1777473021.9655197,2,0,4,8,52567
1777473021.9718015,2,0,10,20,59890
1777473021.978489,2,1,4,8,90497
1777473021.9807978,2,1,10,20,23201
1777473022.0718002,2,0,4,9,52570
1777473022.077106,2,0,10,21,59889
1777473022.0826344,2,1,4,9,90500
1777473022.084659,2,1,10,20,23202
1777473022.1716363,2,0,4,8,52569
1777473022.1765244,2,0,10,21,59892
1777473022.1864073,2,1,4,9,90500
1777473022.1898956,2,1,10,21,23538
1777473022.2773633,2,0,4,9,52568
1777473022.282315,2,0,10,21,59892
1777473022.2888374,2,1,4,9,90025
1777473022.2912529,2,1,10,20,23543
1777473022.3784256,2,0,4,8,52151
1777473022.383279,2,0,10,20,59890
1777473022.38947,2,1,4,8,90503
1777473022.392566,2,1,10,20,23542
1777473022.4809105,2,0,4,9,52569
1777473022.4888,2,0,10,21,59890
1777473022.4984288,2,1,4,9,90499
1777473022.501908,2,1,10,21,23537
1777473022.5862205,2,0,4,9,52570
1777473022.5907857,2,0,10,20,59891
1777473022.5954392,2,1,4,9,90500
1777473022.5976691,2,1,10,20,23543
1777473022.6868806,2,0,4,9,52567
1777473022.6916156,2,0,10,20,59889
1777473022.697241,2,1,4,8,90034
1777473022.6996717,2,1,10,20,23543
1777473022.7886345,2,0,4,9,52149
1777473022.7934551,2,0,10,20,59891
1777473022.7989123,2,1,4,9,90500
1777473022.801281,2,1,10,20,23543
1777473022.8944535,2,0,4,8,52566
1777473022.899637,2,0,10,20,59889
1777473022.906029,2,1,4,8,90498
1777473022.9099615,2,1,10,20,23540
1777473022.9952686,2,0,4,8,52570
1777473023.0000162,2,0,10,21,59889
1777473023.0064857,2,1,4,8,90507
1777473023.008797,2,1,10,21,23537
1777473023.0971048,2,0,4,8,52149
1777473023.102634,2,0,10,20,59890
1777473023.1116087,2,1,4,8,90497
1777473023.114209,2,1,10,20,23543
1777473023.2049437,2,0,4,8,52571
1777473023.2099125,2,0,10,20,59892
1777473023.215094,2,1,4,8,90034
1777473023.2175372,2,1,10,20,23542
1777473023.3056214,2,0,4,9,52568
1777473023.310297,2,0,10,20,59889
1777473023.315745,2,1,4,9,90499
1777473023.3183062,2,1,10,20,23542
1777473023.4055252,2,0,4,8,52567
1777473023.4105144,2,0,10,20,59890
1777473023.4159884,2,1,4,8,90497
1777473023.4181416,2,1,10,20,23543
1777473023.5119226,2,0,4,9,52568
1777473023.517704,2,0,10,20,59892
1777473023.5245304,2,1,4,9,90499
1777473023.5274138,2,1,10,20,23202
1777473023.6158729,2,0,4,9,52566
1777473023.6225786,2,0,10,21,59890
1777473023.6285684,2,1,4,8,90497
1777473023.6309848,2,1,10,21,23537
1777473023.7167096,2,0,4,8,52571
1777473023.7208972,2,0,10,20,59889
1777473023.72741,2,1,4,9,90499
1777473023.7301707,2,1,10,20,23200
1777473023.8164682,2,0,4,8,52564
1777473023.8220923,2,0,10,21,59890
1777473023.8282685,2,1,4,8,90497
1777473023.8308403,2,1,10,21,23538
1777473023.923428,2,0,4,8,52568
1777473023.928971,2,0,10,20,59892
1777473023.9341993,2,1,4,9,90499
1777473023.9364119,2,1,10,20,23543
1777473024.0209088,2,0,4,9,52147
1777473024.0239468,2,0,10,20,59889
1777473024.02796,2,1,4,8,90496
1777473024.0293798,2,1,10,20,23201
1777473024.1226819,2,0,4,9,52570
1777473024.1267118,2,0,10,21,59892
