time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473001.28305,2,0,4,9,87064
1777473001.2862408,2,0,10,21,21112
1777473001.2909517,2,1,4,9,48964
1777473001.2923694,2,1,10,21,57596
1777473001.3961556,2,0,4,8,87062
1777473001.4027886,2,0,10,21,20808
1777473001.4103222,2,1,4,8,49423
1777473001.4129062,2,1,10,21,57597
1777473001.5008779,2,0,4,8,87064
1777473001.5080576,2,0,10,20,21114
1777473001.5148377,2,1,4,9,49434
1777473001.5169537,2,1,10,20,57596
1777473001.6015844,2,0,4,8,87068
1777473001.609686,2,0,10,20,21101
1777473001.6164606,2,1,4,8,48970
1777473001.6184459,2,1,10,20,57589
1777473001.7065668,2,0,4,8,87068
1777473001.7120612,2,0,10,20,21110
1777473001.7188425,2,1,4,8,49439
1777473001.7205698,2,1,10,20,57590
1777473001.806511,2,0,4,8,49440
1777473001.8141236,2,0,10,20,20805
1777473001.821678,2,1,4,8,86477
1777473001.8248396,2,1,10,20,57124
1777473001.9128587,2,0,4,8,48970
1777473001.9199362,2,0,10,21,21110
1777473001.9271193,2,1,4,8,87068
1777473001.9291472,2,1,10,21,57593
1777473002.0119598,2,0,4,8,48970
1777473002.0176923,2,0,10,21,21112
1777473002.0257146,2,1,4,9,87072
1777473002.0284514,2,1,10,21,57593
1777473002.1155539,2,0,4,8,49440
1777473002.1233246,2,0,10,21,21112
1777473002.1313024,2,1,4,8,86477
1777473002.1358428,2,1,10,21,57595
1777473002.2250037,2,0,4,9,49434
1777473002.2296627,2,0,10,21,21114
1777473002.2337172,2,1,4,9,87064
1777473002.234991,2,1,10,21,57135
1777473002.310455,2,0,4,9,49435
1777473002.31332,2,0,10,20,21112
1777473002.3162372,2,1,4,9,87069
1777473002.317269,2,1,10,20,57122
1777473002.4241507,2,0,4,9,49434
1777473002.4301665,2,0,10,20,20804
1777473002.4360652,2,1,4,8,48970
1777473002.4388077,2,1,10,20,57591
1777473002.5282948,2,0,4,8,87065
1777473002.5349307,2,0,10,20,21112
1777473002.542089,2,1,4,9,48964
1777473002.5448675,2,1,10,20,57593
1777473002.628978,2,0,4,8,86466
1777473002.6342688,2,0,10,20,21112
1777473002.6412866,2,1,4,8,49438
1777473002.6439528,2,1,10,21,57593
1777473002.732277,2,0,4,8,87065
1777473002.7393277,2,0,10,21,20803
1777473002.7461116,2,1,4,8,48967
1777473002.748208,2,1,10,21,57591
1777473002.8376236,2,0,4,8,86477
1777473002.8431108,2,0,10,20,21111
1777473002.8498037,2,1,4,8,48957
1777473002.851752,2,1,10,21,57593
1777473002.9386747,2,0,4,9,48964
1777473002.9443512,2,0,10,21,20803
1777473002.9504359,2,1,4,8,87065
1777473002.9522595,2,1,10,21,57593
1777473003.0442233,2,0,4,8,48970
1777473003.0497153,2,0,10,21,21111
1777473003.0571885,2,1,4,9,87070
1777473003.0602193,2,1,10,21,57591
1777473003.143556,2,0,4,8,87065
1777473003.1490366,2,0,10,21,21112
1777473003.1536486,2,1,4,8,48968
1777473003.1552844,2,1,10,21,57593
1777473003.2399044,2,0,4,9,87070
1777473003.243122,2,0,10,21,20802
1777473003.2462432,2,1,4,9,48966
1777473003.2472417,2,1,10,21,57592
1777473003.3522193,2,0,4,8,87067
1777473003.3620427,2,0,10,21,21110
1777473003.3696284,2,1,4,8,49429
1777473003.3716393,2,1,10,21,57591
1777473003.4548912,2,0,4,8,86467
1777473003.4598193,2,0,10,20,21111
1777473003.4636168,2,1,4,8,48970
1777473003.4653442,2,1,10,20,57590
1777473003.5601304,2,0,4,8,87065
1777473003.5656462,2,0,10,20,21110
1777473003.57297,2,1,4,9,49435
1777473003.5749345,2,1,10,21,57590
1777473003.6484027,2,0,4,9,86457
1777473003.6510375,2,0,10,20,21110
1777473003.6543994,2,1,4,9,48964
1777473003.6556318,2,1,10,20,57591
1777473003.7601018,2,0,4,9,49435
1777473003.7652106,2,0,10,20,21110
