pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1778149546.6727111,215394987,0,0,1,3,32752
1778149546.6738136,215394987,0,0,4,8,41240
1778149546.6745439,215394987,0,1,4,9,77152
1778149546.6752198,215394987,0,0,10,21,38677
1778149546.6760633,215394987,0,1,10,21,74199
1778149546.6767714,215394987,1,0,0,1,5614
1778149546.677483,215394987,1,0,4,8,41441
1778149546.6781356,215394987,1,1,4,8,76998
1778149546.67884,215394987,1,0,10,20,39187
1778149546.6795738,215394987,1,1,10,20,74460
1778149546.6806464,215394987,1,0,11,22,32015
1778149546.681773,215394987,2,0,4,8,76031
1778149546.6837082,215394987,2,1,4,8,40551
1778149546.685792,215394987,2,0,10,20,73537
1778149546.6880245,215394987,2,1,10,20,38526
1778149546.6898184,215394987,3,0,4,8,76198
1778149546.692208,215394987,3,1,4,8,40372
1778149546.69513,215394987,3,0,8,16,64933
1778149546.6973693,215394987,3,0,10,21,37982
1778149546.6994693,215394987,3,1,10,20,73225
1778149546.7013829,215497791,0,0,1,3,32752
1778149546.7032368,215497791,0,0,4,9,41241
1778149546.7051082,215497791,0,1,4,9,77143
1778149546.7071395,215497791,0,0,10,21,38686
1778149546.7090278,215497791,0,1,10,20,74195
1778149546.7109451,215497791,1,0,0,1,5614
1778149546.7126212,215497791,1,0,4,9,41447
1778149546.7146044,215497791,1,1,4,9,76981
1778149546.7164156,215497791,1,0,10,21,39201
1778149546.718282,215497791,1,1,10,20,74460
1778149546.7201633,215497791,1,0,11,22,32015
1778149546.722024,215497791,2,0,4,8,76023
1778149546.7235956,215497791,2,1,4,9,40559
1778149546.7250803,215497791,2,0,10,21,73532
1778149546.726801,215497791,2,1,10,20,38539
1778149546.7284942,215497791,3,0,4,9,76190
1778149546.729692,215497791,3,1,4,9,40369
1778149546.7312012,215497791,3,0,8,16,64933
1778149546.732386,215497791,3,0,10,21,37982
1778149546.7336264,215497791,3,1,10,20,73225
1778149546.7348404,215600343,0,0,1,3,32752
1778149546.7359786,215600343,0,0,4,8,41233
1778149546.7369547,215600343,0,1,4,8,77114
1778149546.7378292,215600343,0,0,10,20,38685
1778149546.7387788,215600343,0,1,10,20,74175
1778149546.7397432,215600343,1,0,0,1,5614
1778149546.740603,215600343,1,0,4,8,41420
1778149546.7414987,215600343,1,1,4,8,76960
1778149546.7424052,215600343,1,0,10,20,39195
1778149546.7433007,215600343,1,1,10,20,74460
1778149546.7441099,215600343,1,0,11,22,32015
1778149546.7449064,215600343,2,0,4,8,75994
1778149546.7455723,215600343,2,1,4,8,40536
1778149546.746635,215600343,2,0,10,20,73518
1778149546.7472458,215600343,2,1,10,20,38524
1778149546.747775,215600343,3,0,4,8,76171
1778149546.7483177,215600343,3,1,4,8,40355
1778149546.7488575,215600343,3,0,8,16,64933
1778149546.7494357,215600343,3,0,10,21,37982
1778149546.7500136,215600343,3,1,10,20,73225
1778149546.7506084,215701818,0,0,1,3,32752
