i,sensor_id,x,y,z
0,0,-0.150000,-0.000000,1.900000
1,1,-0.100000,-0.000000,1.900000
2,2,-0.100000,0.050000,1.900000
3,3,-0.150000,0.050000,1.900000
4,0,-0.100000,0.040000,1.950000
5,1,-0.050000,0.040000,1.950000
6,2,-0.050000,0.090000,1.950000
7,3,-0.100000,0.090000,1.950000
8,0,-0.050000,-0.000000,2.000000
9,1,-0.000000,0.000000,2.000000
10,2,0.000000,0.050000,2.000000
11,3,-0.050000,0.050000,2.000000
12,0,-0.000000,-0.040000,2.050000
13,1,0.050000,-0.040000,2.050000
14,2,0.050000,0.010000,2.050000
15,3,0.000000,0.010000,2.050000
16,0,0.050000,0.000000,2.100000
17,1,0.100000,0.000000,2.100000
18,2,0.100000,0.050000,2.100000
19,3,0.050000,0.050000,2.100000
20,0,0.100000,0.040000,2.050000
21,1,0.150000,0.040000,2.050000
22,2,0.150000,0.090000,2.050000
23,3,0.100000,0.090000,2.050000
24,0,0.150000,0.000000,2.000000
25,1,0.200000,0.000000,2.000000
26,2,0.200000,0.050000,2.000000
27,3,0.150000,0.050000,2.000000
28,0,0.200000,-0.040000,1.950000
29,1,0.250000,-0.040000,1.950000
30,2,0.250000,0.010000,1.950000
31,3,0.200000,0.010000,1.950000
